Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,467.0,8.0,55.0,1536.0,0.1,24.30800000000003,0.0,0.0,232.33048605918884,,,,,,,,,,,,,,,,,,,,,7.239407825577026,7.542573084405187,23.957724059989186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,498.0,9.0,31.0,1567.0,0.1,14.705999999999994,0.0,0.0,235.39424920082092,,,,,,,,,,,,,,,,,,,,,4.460691997968532,4.983560965676438,14.596897746658549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,529.0,10.0,31.0,1598.0,0.1,17.506000000000014,0.0,0.0,238.50672054290771,,,,,,,,,,,,,,,,,,,,,5.88844264884749,6.091120250323478,17.358157234196888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,599.0,11.0,70.0,1668.0,0.1,28.40600000000004,0.0,0.0,244.87769174575806,,,,,,,,,,,,,,,,,,,,,9.413681538554357,7.825406733060376,27.802619729139746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,633.0,12.0,34.0,1702.0,0.1,17.70700000000002,0.0,0.0,248.37653374671936,,,,,,,,,,,,,,,,,,,,,5.5241109754024205,6.0888120325758734,17.554271214995097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,659.0,13.0,26.0,1728.0,0.1,12.104999999999995,0.0,0.0,251.04765582084656,,,,,,,,,,,,,,,,,,,,,3.7407594261576316,4.1641432888514345,12.03179180674158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,694.0,14.0,35.0,1763.0,0.1,15.905999999999993,0.0,0.0,254.51076245307922,,,,,,,,,,,,,,,,,,,,,4.703326294710074,5.250134042960986,15.772913634039597,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,726.0,15.0,32.0,1795.0,0.1,18.605000000000015,0.0,0.0,257.6925756931305,,,,,,,,,,,,,,,,,,,,,6.390709976177217,6.4444004338985845,18.437353550509805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,770.0,16.0,44.0,1839.0,0.1,20.305000000000025,0.0,0.0,262.0622823238373,,,,,,,,,,,,,,,,,,,,,6.084931578494531,6.483932196817974,20.077397728605725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,805.0,17.0,35.0,1874.0,0.1,15.406999999999993,0.0,0.0,265.5606052875519,,,,,,,,,,,,,,,,,,,,,4.3960228811515885,5.0969535265671855,15.283691298064529,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
